Keyword,Attribute,Actual Attribute,Pros,Cons
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
Camera,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
clarity,Reasonable,Reasonable,Camera and picture quality is good,Camera and picture quality is poor
hangs,Heavy,Heavy,No hanging even after installing lot of apps,Phone is hanging after many app installation
performance,Hang,Hang,,Hang
Camera,Modes,Modes,Picture quality in different modes are awesome,Picture quality becomes bad in many modes
fast,Processor,Processor,Processor,Processor
stylish,Look,Look,Stylish,Not so stylish
service,Poor,,Perfect product delivered,Defective product delivered
affordable,Price,Price,It's worth the price,It's not worth the price
fast,Processor,Processor,Processor,Processor
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
fast,Gaming,Gaming,Gaming,Gaming
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
Display,LCD,LCD,Suberb display clarity,Display quality not good
sound,Clear,Clarity,Good sound quality,Poor sound quality
headphone,Quality,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
picture,Daylight,Day Light,Day light picture quality is superb,day light picture quality is poor
flipkart,Deliver,Delivery,Quick Delivery,Delayed Delivery
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Camera,Photos,image,Camera and picture quality is good,Camera and picture quality is poor
sound,Clear,Clarity,Good sound quality,Poor sound quality
Game,Smoothly,Smooth,Excellent for gaming,Not good for gaming
features,Camera,Camera,,
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
videos,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
features,Storage space,Storage space,,
Display,4inch,4inch,Suberb display clarity,Display quality not good
features,Touchscreen,Touch,Touch,Touch
features,Resolution,Resolution,,
touch,Feature,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
delivered,Safe,Quick,Quick Delivery,Delayed Delivery
delivered,EMI,EMI,Perfect product delivered,Defective product delivered
Camera,Clicks,Clicks,Camera and picture quality is good,Camera and picture quality is poor
service,Fast,,Quick Delivery,Delayed Delivery
features,Display,Display,,
features,Clarity,Clarity,,
Camera,HD,HDR Mode,HDR Mode is excellent,HDR Mode is not good
headphone,Quality,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
Display,Retina display,Retina,Retina display is superb,Retina display not upto the mark
Display,Scratch,Scratch,Suberb display clarity,Display quality not good
Android,Feature,features,features,features
body,Design,Design,Awesome looks and design,Design and looks not good
fast,Versions,Versions,,
Fingerprint ,sensor,sensor,Fingerprint sensor works smoothly,Fingerprint sensor is not smooth
Fingerprint ,flawlessly,flawlessly,Fingerprint sensor works smoothly,Fingerprint sensor is not smooth
Price,Worth,Worthy,It's worth the price,It's not worth the price
service,Fast,,Quick Delivery,Delayed Delivery
service,Safe,,Perfect product delivered,Defective product delivered
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
stylish,Design,Design,Awesome looks and design,Design and looks not good
Touch,Orientation,,,
Touch, ID, ID,,
Touch,readable,,,
fast,CPU,CPU,CPU,CPU
fast,A6 chip,A6 chip,,
Touch, ID, ID,,
features,AirDrop,AirDrop,AirDrop,AirDrop
features,Control centre,Control centre,,
fast,Wireless,Wireless,,
fast,Networks,Networks,,
burst,Capture,Burst mode,Burst mode,Burst mode
burst,mode,Burst mode,Burst mode,Burst mode
image,Stabilisation,Stabilisation,Stabilisation,Stabilisation
features,Video,Video,,
features,Panorama,Panaroma,Panaroma,Panaroma
delivered,Time,Time,Quick Delivery,Delayed Delivery
snapdeal,Safe,,Perfect product delivered,Defective product delivered
fast,Delivery,Delivery,Delivery,Delivery
online,Service,,,
online,Packaging,,,
service,Packaging,Packaging,Packaging,Packaging
viewing ,angles,angles,Good display viewing angles,Display Viewing angles is poor
Touch,Fingerprint ,Fingerprint ,,
Touch, ID, ID,,
Touch,integrated,,,
performance,Faster,Smooth,Nice performance,
Touch,Unlocking,,,
Touch, ID, ID,,
Touch,simple,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
delivered,Time,Time,Quick Delivery,Delayed Delivery
Delivery,Time,Time,Quick Delivery,Delayed Delivery
delivered,Care,Care,Perfect product delivered,Defective product delivered
delivered,Responsibility,Responsibility,Perfect product delivered,Defective product delivered
fast,Service,Service,,
delivered,TIme,TIme,Quick Delivery,Delayed Delivery
features,Sound,Sound,,
features,Video,Video,,
warranty,Genuine,Genuine,Genuine,Genuine
snapdeal,Product,,Perfect product delivered,Defective product delivered
Android,Hang,,,
Delivery,Order,Order,Quick Delivery,Delayed Delivery
applications,Heated,Heated,Apps run smoothly,Phone gets heated while using apps
delivered,Date,Date,Quick Delivery,Delayed Delivery
durable,Cost,Durable,,Not durable
sound,Quality,Quality,Good sound quality,Poor sound quality
delivered,Time,Time,Quick Delivery,Delayed Delivery
games,Lagging,lags,No hanging while gaming,Hangs while playing games
cheap,Price,Price,It's worth the price,It's not worth the price
fast,Shipping,Shipping,Shipping,Shipping
sound,Clear,Clarity,Good sound quality,Poor sound quality
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Screen,Sharp,,Good screen resolution and display,Screen resolution and display is poor
Price,High,High,It's worth the price,It's not worth the price
internal,restrict,restrict,,
internal,memory,memory,memory,memory
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Audio,Clear,Quality,Good sound quality,Poor sound quality
Audio,Bass,Bass,Good sound quality,Poor sound quality
Processor,MediaTek,MediaTek,MediaTek,MediaTek
Processor,Qualcomms,Qualcomm,Qualcomm,Qualcomm
hardware,Buttons,Buttons,,
hardware,Battery,Battery,,
hardware,Cost,Cost,,
buttons,Disappears,Disappears,,
storage,SD card,,,
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
sound,Clean,Clarity,Good sound quality,Poor sound quality
budget,Features,Features,It's worth the price,It's not worth the price
cheap,Online,Online,It's worth the price,It's not worth the price
built ,quality,Quality,Good body built quality,Body built not good
Audio,Quality,Quality,Good sound quality,Poor sound quality
video,Lag ,Lag ,No lag while watching videos,Lags during video watching
video,Framedrop,,Framedrop ,Framedrop 
videos,Framedrop,,Framedrop ,Framedrop 
viewing ,QHD,QHD,Good display viewing angles,Display Viewing angles is poor
viewing ,angles,angles,Good display viewing angles,Display Viewing angles is poor
viewing ,good,good,Good display viewing angles,Display Viewing angles is poor
Camera,Pictures,image,Camera and picture quality is good,Camera and picture quality is poor
Apps,Fast,Fast,Apps run smoothly,Apps don't run smoothly and hangs
Apps,Lag,Lag,Apps run smoothly,Apps don't run smoothly and hangs
Apps,Slowness,Slowness,Apps run smoothly,Apps don't run smoothly and hangs
smooth ,Experience,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Display,Design,Design,Suberb display clarity,Display quality not good
expandable,32GB,32GB,32GB,32GB
build,Quality,Quality,Good body built quality,Body built not good
build,Form factor,Form factor,,
performance,Processor,Processor,Processor,Processor
performance,RAM,RAM,RAM,RAM
sound,Loud,,Good sound quality,Poor sound quality
headphone,Great,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
Apps,Smooth,Smooth,Apps run smoothly,Apps don't run smoothly and hangs
Display,Colour,Colour,Cool display colours,Display colours don't look good
back,panel,panel,Nice back panel,Back panel not good
connectivity,Fast,Fast,Internet speed is good,Browsing is slow
service,Fast,,Quick Delivery,Delayed Delivery
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
internal,4 gb,4GB,4GB,4GB
internal,memory,memory,memory,memory
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
features,QHD,QHD,QHD,QHD
expandable,32GB,32GB,32GB,32GB
storage,Expandable,Expandabale,Expandabale,Expandabale
connectivity,3G,3G,Speed in 3G browsing is good,Speed in 3G browsing is not good
connectivity,Wi-Fi,Wi-Fi,Speed in Wi-Fi browsing is good,Speed in Wi-Fi browsing is not good
features,3G,3G,3G,3G
features,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi
features,Bluetooth,Bluetooth,Bluetooth,Bluetooth
sound,Low,Low,Good sound quality,Poor sound quality
Front ,improved,Front camera,Good front camera quality,Poor front camera quality
Front ,camera,Front camera,Good front camera quality,No front camera
Design,Handy,Smooth,Awesome looks and design,Design and looks not good
sound,Low,Low,Good sound quality,Poor sound quality
cheap,Deal,Deal,It's worth the price,It's not worth the price
games,Smoothly,Smooth,Excellent for gaming,Not good for gaming
features,Auto focus,Auto focus,Auto focus,Auto focus
features,LED flash,LED,LED,LED
picture,8 megapixel,8 megapixel,Camera and picture quality is good,Camera and picture quality is poor
internal,Less,low,,Low internal memory space
internal,memory,memory,memory,memory
memory ,Less,Less,,Low memory space
touch,Resolution,Resolution,Resolution,Resolution
service,Orders,,,
Price,High,High,It's worth the price,It's not worth the price
features,Reasonably,Reasonably,,
fast,Lag,Lag,,
fast,Games,Gaming,Gaming,Gaming
snapdeal,Shopping,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
Screen,Sized,Size,Screen size is perfect,Screen size is not ok
features,Camera,Camera,,
music,Sound,Quality,Music sound quality is awesome,Music sound quality is poor
picture,Fair,Fair,Camera and picture quality is good,Camera and picture quality is poor
internal,4 gb,4GB,4GB,4GB
internal,memory,memory,memory,memory
memory ,Nokia HERE,Nokia HERE,Nokia HERE,Nokia HERE
games,Apps,Apps,Pre installed gaming apps are cool,Pre installed games are not good
Audio,Recording,Recording,Good sound quality,Poor sound quality
features,Usefull,Usefull,,
fast,Quad core,Quad core,,
features,Android,Android,,
sound,Quality,Quality,Good sound quality,Poor sound quality
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
video,Player,,,
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
Display,Clarity,Clear,Suberb display clarity,Display quality not good
lag,Experience,Experience,No lagging problem,Phone lags
snapdeal,Time,,Quick Delivery,Delayed Delivery
snapdeal,Packing,Packaging,Packaging,Packaging
Front ,good,Front camera,Good front camera quality,Poor front camera quality
Front ,camera,Front camera,Good front camera quality,Poor front camera quality
picture,Clear,Clarity,Camera and picture quality is good,Camera and picture quality is poor
smooth ,Operate,Operations,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
delivered,Promptly,Quick,Quick Delivery,Delayed Delivery
sound,Crystal,Clarity,Good sound quality,Poor sound quality
sound,Clear,Clarity,Good sound quality,Poor sound quality
windows,OS,OS,OS,OS
Android,Apps,Apps,Apps,Apps
features,Skydrive,Skydrive,,
features,Maps,Maps,Maps,Maps
features,Nokia HERE,Nokia HERE,,
